info,name,title
　　本报讯 为深入贯彻落实习近平主席关于加强基层建设的指示要求，夯实民兵建设基础，规范基层饮食保障秩序，近日，山西省军区在晋中市太谷区组织民兵基层规范化建设暨基层饮食保障规范试点观摩活动。省军区司令员田越出席活动并讲话，省军区副司令员殷勇出席。,山西日报数字报,山西省军区组织民兵基层规范化建设暨基层饮食保障规范试点观摩活动
"　　本报讯近日，省司法厅制定《公共法律服务规范提升三年行动（2025—2027年）工作举措》（以下简称《工作举措》），研究细化19条举措，深入开展公共法律服务规范提升行动。
《工作举措》提出，要全面加强法律服务行业党的建设，开展“两个覆盖”集中攻坚行动，引导从业人员依法依规诚信执业。",山西日报数字报,省司法厅细化举措 提升公共法律服务效能
"　　本报讯（记者杨文俊）为进一步严明纪律规矩，切实发挥典型案例警示教育作用，大力纠“四风”树新风，营造风清气正的节日氛围，5月28日，省纪委监委公开通报5起违反中央八项规定精神典型问题。具体如下：
长治市沁源县委原副书记、政法委原书记胡亚明违规收受礼品礼金、将本应由个人支付的费用安排他人支付等问题。",山西日报数字报,省纪委监委公开通报5起违反中央八项规定精神典型问题
　　5月28日，省直工委举办“信仰的力量”系列宣讲第五场专题报告会。图为报告会现场。,山西日报数字报,省直工委举办“信仰的力量”系列宣讲第五场专题报告会
"　　5月28日，中央第一生态环境保护督察组督察山西省动员会在太原召开。本报记者史晓波摄
本报讯（记者杨文）为全面贯彻党的二十大和二十届二中、三中全会精神，深入贯彻落实习近平生态文明思想和习近平总书记重要指示批示精神，经党中央、国务院批准，根据二十届中央生态环境保护督察工作领导小组会议精神，中央第一生态环境保护督察组近日进驻山西省开展生态环境保护督察。",山西日报数字报,【第三轮中央生态环境保护督察】中央第一生态环境保护督察组督察山西省动员会在太原召开
"　　督察进驻时间：2025年5月28日—6月28日
受理举报电话：0351-2022698
受理举报信箱：山西省太原市A292号邮政信箱
受理举报电话时间：8:00—20:00.",山西日报数字报,中央第一生态环境保护督察组群众信访举报受理方式公告
"　　本报讯（记者晋帅妮）日前，省工信厅、省发展改革委、省科学技术厅等13部门联合出台《关于积极有序承接制造业转移的实施意见》（以下简称《实施意见》），推动我省积极承接制造业转移，加快构建现代化产业体系，促进区域协调发展。
根据《实施意见》，我省将因地制宜承接重点产业转移，在能源材料产业方面，推动能源产业与制造业融合协调发展。",山西日报数字报,我省13部门联手推动承接制造业转移
"　　5月28日,记者获悉《自然资源领域推动中部地区崛起工作实施方案》(以下简称《方案》)已由省自然资源厅印发各地实行,该方案旨在充分发挥自然资源领域推动中部地区崛起的规划引领、要素支撑作用。稳妥有序推进绿色矿山建设,进一步完善全省绿色矿山建设标准与评价指标体系,力争2028年底持证在产的90%大型矿山、80%中型矿山达到绿色矿山标准要求。",山西日报客户端,山西省出台方案为中部地区崛起提供自然资源支撑
　　本报讯（记者 张晓丽）5月27日从省教育厅获悉，今年共确认22项竞赛活动为省域内面向中小学生的全国性竞赛活动，活动名单当年有效。竞赛以及竞赛产生的结果不作为中小学招生入学的依据和高考加分项目。,太原晚报,中小学生今年可参加22项全国竞赛
　　本报讯（记者 李晓并）不论是否常住居民，今后均可到就近的行政村（社区）或乡镇（街道）办理养老保险相关业务，山西省城乡居民养老保险已实现“全省通办”。近日，省人社厅针对城乡居民关注的热点问题，进行了权威解答。,太原晚报,人社部门详解相关热点问题
"　　原标题：赓续文脉 晋展风华

	——山西展团参加第二十一届深圳文博会综述

	斩获“中国工艺美术文化创意大赛”10项大奖，其中金奖2项、银奖5项、铜奖3项；平水绣《招财进宝系列耍耍蛇》文创作品入选“文博会礼物”；现场交易额突破120万元，意向订单总额近2500万元，霍州市鸣梦老粗布、晋派砖雕、潞绸集团等企业均收获超百万订单……五天展期，山西展团交出亮眼成绩单。

	从晋风晋韵的沉浸式展陈到传统非遗的创新表达，再到文化产业“走出去”的丰硕成果，山西展团成功搭建起开放共赢的交流合作桥梁，为我省文化产业高质量发展开拓新视野、捕捉新机遇、激发新动能。",新华网,赓续文脉 晋展风华——山西展团参加第二十一届深圳文博会综述
　　中新网吕梁5月28日电(记者 左宇坤 李雨昕)当驾车穿行在山西的高速公路上，很难不被眼前的景象所吸引——阳光下，光伏面板如海浪般起伏延展；山丘之上，成排风机在风中缓缓旋转。很难想象，这里是中国最重要的煤炭产地之一。,中国新闻网,从“黑金”到“绿能” 中国资源型城市重塑发展路径
　　再有10天，2025年高考即将拉开大幕，各地考生将奔赴人生中的一场大考。近期，多地召开会议或发文部署，为考生保驾护航。,山西广播电视台,高考倒计时10天，今年有这些新变化
"　　说起传家宝，许多人的第一反应都会想到价值连城的珍宝，而这件陈列在山西省八路军太行纪念馆的传家宝，却是一份“三大纪律八项注意”释文手稿，它是李聚奎将军留给子女的唯一遗产。

	1928年，白色恐怖笼罩着全国，24岁的李聚奎毅然决然加入中国共产党。",网信山西,传家宝的故事
　　为全面贯彻党的二十大和二十届二中、三中全会精神，深入贯彻落实习近平生态文明思想和习近平总书记重要指示批示精神，经党中央、国务院批准，根据二十届中央生态环境保护督察工作领导小组会议精神，中央第一生态环境保护督察组近日进驻山西省开展生态环境保护督察。5月28日，督察进驻动员会在太原召开，督察组组长蔡名照、副组长董保同分别就做好督察工作作了讲话，山西省委书记唐登杰进行了进驻动员。,山西日报,中央第一生态环境保护督察组督察山西省动员会在太原召开
　　为全面贯彻党的二十大和二十届二中、三中全会精神，深入贯彻落实习近平生态文明思想和习近平总书记重要指示批示精神，经党中央、国务院批准，根据二十届中央生态环境保护督察工作领导小组会议精神，中央第一生态环境保护督察组近日进驻山西省开展生态环境保护督察。5月28日，督察进驻动员会在太原召开，督察组组长蔡名照、副组长董保同分别就做好督察工作作了讲话，山西省委书记唐登杰进行了进驻动员。,山西新闻网,中央第一生态环境保护督察组督察山西省动员会在太原召开
"　　本报太原5月27日讯（记者王佳）今天，省中医院举行“健康体重管理门诊”开诊揭牌仪式。
据了解，该门诊是省中医院响应“健康中国”“健康山西”战略、落实省卫健委“体重管理年”部署的重要举措，旨在通过中医药特色疗法，发挥中医药的独特优势，为超重肥胖人群提供科学、系统、个性化的健康管理服务。",山西经济日报数字报,省中医院“健康体重管理门诊”开诊
