info,name,title
　　盛夏的热浪挡不住三晋山河的清凉邀约。恰逢端午小长假，山西游的热度也空前高涨。,山西新闻网,端午小长假，4条线路，3天2夜带你玩转山西！
　　,央视网,[第一时间]多彩民俗迎端午 山西大同：民俗饰品热销 手工艺人赶订单
"　　“端午假期，你准备怎么过？”

	“吃粽子呗！”

	端午将至

	这个被粽叶香与艾草味填满的节日

	除了吃粽子、赛龙舟

	我们还能怎样过一个仪式感拉满的端午节？

	快来看看吧！.",山西云媒体,仪式感满满！打开端午的N种方式
　　端午期间天气以多云天气为主，气温适宜。今年“端午”期间，山西各地将举办丰富多彩的文旅活动，包括龙舟赛、民俗文化节、音乐演出、传统手工艺展示等，进一步激发省内游、周边游的出行需求，且近年来公众出行意愿强烈，全省路网流量将显著增加，端午假期我省高速路网交通状况做出以下预判。,山西云媒体,端午假期如何出行？服务指南来了！
　　,山西广播电视台,山西无处不书香·悦享书店丨钟楼书院
"　　5月30日，省水利厅召开2025年入汛动员部署专题会议，进一步贯彻落实党中央和省委、省政府及水利部关于防汛工作的部署要求，对各级水利部门及各有关单位进行再动员再安排。

	会议强调，自6月1日8时起，我省正式进入汛期。",山西日报,6月1日8时，山西正式进入汛期
"　　端午将至

	吕梁市临县前青塘村

	迎来了一年中最繁忙的时节

	这个黄土高原上的小山村

	被誉为“鱼米之乡”

	摇曳的芦苇

	潺潺的泉眼

	是大自然的馈赠

	而村里的超级“粽子工厂”

	让这个曾经的贫困村

	华丽“逆袭”

	成为闻名全国的亿元村

	今天

	我们一同去探访

	这个亿元村里的

	“粽”量级奇观！

	

	黄土高原上的“鱼米之乡”

	孟夏时节，前青塘村氤氲着浓郁粽香。

	5月28日上午，记者来到这里，还未进村，已经感受到了火热的节日氛围。",山西日报,一片叶子如何撬动亿元产业链？
"　　巍峨的城墙

	古朴的街巷

	精美的古院落

	处处诉说着千年历史的沧桑与厚重

	它便是

	位于山西省中部的

	平遥古城

	 

	

	▲平遥古城俯瞰图

	 

	平遥古城的历史可追溯至

	西周宣王时期（公元前827—前782年）

	大将尹吉甫为抵御北方游牧民族

	在此夯土筑城

	初现城池雏形

	至北魏时期（386—534年）

	为避太武帝拓跋焘名讳

	改“平陶”为“平遥”

	沿用至今

	 

	现存古城格局

	定型于明洪武三年（1370年）

	明太祖为加强边防

	命全国筑城

	平遥城墙在原有土城基础上

	进行大规模扩建

	墙体加高至约12米

	底部包砌砖石

	顶部增建垛口、敌楼等防御设施

	嘉靖至万历年间（16—17世纪）

	增设敌台、角楼

	并修建瓮城

	形成“龟城”格局

	 

	平遥城墙

	是世界上现今保存最古老的城墙之一

	也是世界文化遗产“平遥古城”的

	重要组成部分

	 

	城墙远在三千年前的周代

	就被列为一种建筑的制式

	 

	

	▲平遥城墙

	 

	城墙上的敌楼

	每隔40-60米建有一座

	平日可供士兵休息避雨

	战时则存放烟火设备和擂石等武器

	借助凌空的建筑

	组织抗击敌人的进攻

	环城共有敌楼72座

	和周城的3000个垛口组合起来

	以数理而隐合了

	孔子“三千弟子、贤人七十二”

	 

	

	

	▲角楼

	 

	古人用砖石书写《论语》

	在一砖一瓦间

	蕴藏着中华文化密码

	瞭望孔中穿过的千年风沙

	从未吹散“学而不思则罔”的回响

	平遥古城墙

	把儒家思想筑进城墙

	让守护与传承

	成为最坚固的城防.",山西日报客户端,平遥古城竟藏着孔子密码？
　　,黄河新闻网,一路山河一路歌丨一条“金丝带”的独白
"　　五月初五，为端午节，亦称端阳节、重五节、天中节等，是山西民间夏季最隆重的节日。端午节源于古人的驱邪避瘟活动，形成了今天山西的端午民俗活动，一起来看看~

	粽子香香，黄米甜甜

	

	山西传统粽子以黍米为馅，佐以红枣，外包芦叶，吃时拌糖。",山西日报客户端,AI话端午！山西这些习俗，你解锁了几个？
"　　当处处粽叶飘香、龙舟战鼓擂响，

	当家家户户门楣挂上青青艾草，

	我们就知道，

	一年一度的端午节又来啦！

	 

	端午节，又称端阳节、重午节、五月节等，

	是中国四大传统节日之一。

	2009年，

	联合国教科文组织正式批准将端午节列入

	《人类非物质文化遗产代表作名录》，

	这是中国首个入选世界非遗的节日。",黄河新闻网,今日端午 | 人间至味是安康
　　,山西新闻联播,端午丨“粽”情“粽”意 美好正恰逢其时
"　　本报太原讯 省商务厅市场监测显示，5月20日—26日，全省生活必需品市场供应充足，价格运行有涨有跌，具体监测情况如下。
粮食类：粮食类零售均价5.79元/公斤，周环比微涨0.19%。",山西经济日报数字报,蔬菜类批发均价周环比下降2.1%
　　本报太原讯 5月26日，由中国工程院院士李泽椿领衔的“黄河中游水土保持气象保障院士工作站”经山西省科学技术协会正式批准成立。这一重要科研平台的建立，是我西省贯彻落实《黄河流域生态保护和高质量发展规划纲要》和《山西省黄河流域生态保护和高质量发展规划》的重要举措，标志着我省在气象科技支撑生态文明建设方面迈出关键一步，为构建“气象+生态”融合创新体系提供科技载体。,山西经济日报数字报,黄河中游水土保持气象保障院士工作站正式获准成立
　　本报太原5月30日讯（记者王媛）5月30日，山西博物院暑期大展“毕加索、达利与超现实主义艺术——19世纪以来西班牙油画真迹展”在山西博物院主馆一层临展厅正式开展。此次展览汇集西班牙毕加索、达利等23位艺术家的75件经典作品，涉及雕塑、油画等多种艺术表现形式，为观众呈现一场充满颠覆色彩的艺术盛宴。,山西经济日报数字报,毕加索等艺术家真迹亮相山西博物院
